Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ],GDP (current US$) [NY.GDP.MKTP.CD],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]
2019,YR2019,Albania,ALB,82,15401826127.2539,18.1443771903866
2019,YR2019,Andorra,AND,..,3155150255.91195,..
2019,YR2019,Armenia,ARM,47,13619290539.2116,22.2851709900772
2019,YR2019,Austria,AUT,27,444596155845.254,25.5828349182075
2019,YR2019,Azerbaijan,AZE,28,48174235294.1176,14.2188526451777
2019,YR2019,Belarus,BLR,49,64410122847.3508,13.3015160119125
2019,YR2019,Belgium,BEL,46,535865804349.803,22.6341104905571
2019,YR2019,Bosnia and Herzegovina,BIH,90,20482608755.379,19.8265971899192
2019,YR2019,Bulgaria,BGR,61,68881010245.5498,20.4828150913513
2019,YR2019,Channel Islands,CHI,..,10381669645.1366,..
2019,YR2019,Croatia,HRV,51,61470295887.8384,21.0750360737608
2019,YR2019,Cyprus,CYP,54,25947027570.4262,23.2993930370698
2019,YR2019,Czechia,CZE,41,252548179964.897,14.7687696689181
2019,YR2019,Denmark,DNK,4,346498737961.635,34.8340429595631
2019,YR2019,Estonia,EST,18,31081901909.2156,21.2929535588773
2019,YR2019,Faroe Islands,FRO,..,3266432734.22819,..
2019,YR2019,Finland,FIN,20,268514916972.549,20.6684788499862
2019,YR2019,France,FRA,33,2728870246705.88,24.5146627776513
2019,YR2019,Georgia,GEO,7,17470436258.5131,23.1173329727924
2019,YR2019,Germany,DEU,22,3889177589254.9,11.4057701109061
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,79,205252760889.364,26.1803523188966
2019,YR2019,Greenland,GRL,..,2997309971.87623,..
2019,YR2019,Hungary,HUN,52,164020460331.659,22.3640562554323
2019,YR2019,Iceland,ISL,26,24681343649.2952,21.9320134156456
2019,YR2019,Ireland,IRL,24,398933010007.356,17.7130081990219
2019,YR2019,Isle of Man,IMN,..,7314966839.12782,..
2019,YR2019,Italy,ITA,58,2011302198827.45,24.5767049036025
2019,YR2019,Kazakhstan,KAZ,25,181667184854.501,11.78694274063
2019,YR2019,Kosovo,XKX,57,7899737577.47286,..
2019,YR2019,Kyrgyz Republic,KGZ,80,9371275264.36735,15.9638338680814
2019,YR2019,Latvia,LVA,19,34225547537.0745,21.3392266442121
2019,YR2019,Liechtenstein,LIE,..,6436467007.11932,..
2019,YR2019,Lithuania,LTU,11,54808531641.4117,19.9659267029908
2019,YR2019,Luxembourg,LUX,72,69890505323.5842,26.4537121940422
2019,YR2019,Moldova,MDA,48,11735774634.4239,17.656290127877
2019,YR2019,Monaco,MCO,..,7383944044.17,..
2019,YR2019,Montenegro,MNE,50,5542054181.12616,..
2019,YR2019,Netherlands,NLD,42,910194347568.626,24.0454827779179
2019,YR2019,North Macedonia,MKD,17,12606338448.547,17.0832810795126
2019,YR2019,Norway,NOR,9,408742840909.091,23.2830044006887
2019,YR2019,Poland,POL,40,596058473058.766,17.3364818404434
2019,YR2019,Portugal,PRT,39,239986922638.902,22.2011920067777
2019,YR2019,Romania,ROU,55,251017797625.017,14.560555204924
2019,YR2019,Russian Federation,RUS,29,1693115002708.32,10.938399737976
2019,YR2019,San Marino,SMR,92,1616188702.33964,16.9127343335794
2019,YR2019,Serbia,SRB,44,51514242938.6734,24.0497349284773
2019,YR2019,Slovak Republic,SVK,45,105711680180.565,18.78383560839
2019,YR2019,Slovenia,SVN,37,54386654313.9685,18.3159416451755
2019,YR2019,Spain,ESP,31,1394320055129.41,13.7486320897494
2019,YR2019,Sweden,SWE,10,533879529188.454,27.4127018295836
2019,YR2019,Switzerland,CHE,36,721369112726.724,9.90716918660662
2019,YR2019,Tajikistan,TJK,106,8300813889.60795,..
2019,YR2019,Turkiye,TUR,34,761005946788.221,16.524385163859
2019,YR2019,Turkmenistan,TKM,..,45232857142.8571,..
2019,YR2019,Ukraine,UKR,64,153883047509.577,19.1961400966208
2019,YR2019,United Kingdom,GBR,8,2851407164907.81,25.0889355532268
2019,YR2019,Uzbekistan,UZB,69,60283503705.3907,12.616227036276
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/18/2023,,,,,,
